2025-02-13 11:55:29.479 CET [29052] LOG:  checkpoint complete: wrote 49 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.256 s, sync=0.016 s, total=5.289 s; sync files=30, longest=0.002 s, average=0.001 s; distance=248 kB, estimate=301 kB; lsn=0/2B51578, redo lsn=0/2B51540
2025-02-13 12:00:24.494 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:00:31.844 CET [29052] LOG:  checkpoint complete: wrote 69 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.323 s, sync=0.018 s, total=7.351 s; sync files=37, longest=0.005 s, average=0.001 s; distance=322 kB, estimate=322 kB; lsn=0/2BA2028, redo lsn=0/2BA1FD8
2025-02-13 12:05:24.854 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:05:30.386 CET [29052] LOG:  checkpoint complete: wrote 51 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.511 s, sync=0.012 s, total=5.533 s; sync files=31, longest=0.001 s, average=0.001 s; distance=276 kB, estimate=318 kB; lsn=0/2BE7230, redo lsn=0/2BE71F8
2025-02-13 12:09:38.424 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001138: error code 487
2025-02-13 12:10:24.394 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:10:29.571 CET [29052] LOG:  checkpoint complete: wrote 48 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.154 s, sync=0.015 s, total=5.177 s; sync files=31, longest=0.002 s, average=0.001 s; distance=259 kB, estimate=312 kB; lsn=0/2C27FE0, redo lsn=0/2C27FA8
2025-02-13 12:14:46.588 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001030: error code 487
2025-02-13 12:15:24.584 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:15:33.025 CET [29052] LOG:  checkpoint complete: wrote 78 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.417 s, sync=0.018 s, total=8.441 s; sync files=29, longest=0.005 s, average=0.001 s; distance=314 kB, estimate=314 kB; lsn=0/2C76820, redo lsn=0/2C767E8
2025-02-13 12:20:24.039 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:20:30.082 CET [29052] LOG:  checkpoint complete: wrote 56 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.022 s, sync=0.013 s, total=6.044 s; sync files=30, longest=0.001 s, average=0.001 s; distance=270 kB, estimate=309 kB; lsn=0/2CBA228, redo lsn=0/2CBA1F0
2025-02-13 12:25:24.089 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:25:29.153 CET [29052] LOG:  checkpoint complete: wrote 47 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.045 s, sync=0.012 s, total=5.065 s; sync files=29, longest=0.001 s, average=0.001 s; distance=277 kB, estimate=306 kB; lsn=0/2CFF9E0, redo lsn=0/2CFF9A8
2025-02-13 12:30:24.160 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:30:28.887 CET [29052] LOG:  checkpoint complete: wrote 44 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.702 s, sync=0.019 s, total=4.727 s; sync files=27, longest=0.005 s, average=0.001 s; distance=227 kB, estimate=298 kB; lsn=0/2D38970, redo lsn=0/2D38938
2025-02-13 12:33:27.582 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000000F7C: error code 487
2025-02-13 12:35:24.898 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:35:34.101 CET [29052] LOG:  checkpoint complete: wrote 85 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=9.177 s, sync=0.014 s, total=9.203 s; sync files=34, longest=0.001 s, average=0.001 s; distance=357 kB, estimate=357 kB; lsn=0/2D92160, redo lsn=0/2D920F0
2025-02-13 12:40:24.111 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:40:29.508 CET [29052] LOG:  checkpoint complete: wrote 50 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.365 s, sync=0.020 s, total=5.398 s; sync files=30, longest=0.003 s, average=0.001 s; distance=268 kB, estimate=348 kB; lsn=0/2DD61C8, redo lsn=0/2DD51C8
2025-02-13 12:45:24.520 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:45:29.904 CET [29052] LOG:  checkpoint complete: wrote 50 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.349 s, sync=0.022 s, total=5.384 s; sync files=31, longest=0.005 s, average=0.001 s; distance=278 kB, estimate=341 kB; lsn=0/2E1B170, redo lsn=0/2E1AC38
2025-02-13 12:50:24.913 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:50:29.440 CET [29052] LOG:  checkpoint complete: wrote 42 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.494 s, sync=0.019 s, total=4.528 s; sync files=28, longest=0.004 s, average=0.001 s; distance=229 kB, estimate=330 kB; lsn=0/2E54440, redo lsn=0/2E54408
2025-02-13 12:55:24.448 CET [29052] LOG:  checkpoint starting: time
2025-02-13 12:55:31.455 CET [29052] LOG:  checkpoint complete: wrote 65 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.983 s, sync=0.015 s, total=7.008 s; sync files=33, longest=0.001 s, average=0.001 s; distance=311 kB, estimate=328 kB; lsn=0/2EA22B0, redo lsn=0/2EA2278
2025-02-13 13:00:24.464 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:00:29.001 CET [29052] LOG:  checkpoint complete: wrote 42 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.502 s, sync=0.021 s, total=4.537 s; sync files=28, longest=0.005 s, average=0.001 s; distance=231 kB, estimate=319 kB; lsn=0/2EDBF18, redo lsn=0/2EDBEE0
2025-02-13 13:05:24.008 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:05:29.837 CET [29052] LOG:  checkpoint complete: wrote 54 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.805 s, sync=0.013 s, total=5.830 s; sync files=32, longest=0.001 s, average=0.001 s; distance=299 kB, estimate=317 kB; lsn=0/2F26D28, redo lsn=0/2F26CF0
2025-02-13 13:06:07.591 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001080: error code 487
2025-02-13 13:10:24.844 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:10:29.472 CET [29052] LOG:  checkpoint complete: wrote 43 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.596 s, sync=0.018 s, total=4.628 s; sync files=29, longest=0.005 s, average=0.001 s; distance=219 kB, estimate=307 kB; lsn=0/2F5D9D8, redo lsn=0/2F5D9A0
2025-02-13 13:15:24.473 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:15:31.173 CET [29052] LOG:  checkpoint complete: wrote 62 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.672 s, sync=0.014 s, total=6.700 s; sync files=33, longest=0.002 s, average=0.001 s; distance=299 kB, estimate=306 kB; lsn=0/2FA89B0, redo lsn=0/2FA8978
2025-02-13 13:17:44.201 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2C8D40000) for child 0000000000000F44: error code 487
2025-02-13 13:20:24.182 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:20:31.994 CET [29052] LOG:  checkpoint complete: wrote 72 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.785 s, sync=0.019 s, total=7.812 s; sync files=33, longest=0.005 s, average=0.001 s; distance=299 kB, estimate=305 kB; lsn=0/2FF3640, redo lsn=0/2FF3608
2025-02-13 13:23:07.940 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000000FC8: error code 487
2025-02-13 13:25:25.008 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:25:31.596 CET [29052] LOG:  checkpoint complete: wrote 61 buffers (0.0%); 0 WAL file(s) added, 0 removed, 1 recycled; write=6.555 s, sync=0.020 s, total=6.588 s; sync files=32, longest=0.005 s, average=0.001 s; distance=333 kB, estimate=333 kB; lsn=0/3046DA0, redo lsn=0/3046D68
2025-02-13 13:30:25.602 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:30:30.668 CET [29052] LOG:  checkpoint complete: wrote 47 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.032 s, sync=0.026 s, total=5.066 s; sync files=29, longest=0.005 s, average=0.001 s; distance=262 kB, estimate=326 kB; lsn=0/3088650, redo lsn=0/3088618
2025-02-13 13:35:25.672 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:35:32.606 CET [29052] LOG:  checkpoint complete: wrote 64 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.908 s, sync=0.019 s, total=6.935 s; sync files=33, longest=0.005 s, average=0.001 s; distance=307 kB, estimate=324 kB; lsn=0/30D5408, redo lsn=0/30D53D0
2025-02-13 13:40:25.623 CET [29052] LOG:  checkpoint starting: time
2025-02-13 13:40:32.414 CET [29052] LOG:  checkpoint complete: wrote 63 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.761 s, sync=0.023 s, total=6.791 s; sync files=30, longest=0.005 s, average=0.001 s; distance=305 kB, estimate=322 kB; lsn=0/3121B48, redo lsn=0/3121B10
